Person_ID,Name,Age,Gender,Sexual_Orientation,Era,Relationship_Start_Date,Relationship_End_Date,Relationship_Duration,Relationship_Type,Commitment_Level,Breakup_Reason,Conflict_Frequency,First_Fight_Topic,Last_Text_Exchanged,Mutual_Breakup,Closure_Given,Rebound_After_Days,Avg_Texts_Per_Day,First_Message,Sweet_Terms_Used,Ghosting_Days_Count,Longest_Conversation,Streak_Days,Deleted_Texts_Count,Mood_Before,Mood_During,Mood_After,Trust_Score,Emotional_Dependency_Score,Regret_Level,Self_Esteem_After,Lessons_Learned,Playlist_Shared,Theme_Song,Photos_Shared_Count,Places_Visited_Together,Anniversary_Celebrated,Memory_Value_Score,Love_Growth_Trend,Attachment_Style,Breakup_Recovery_Days,Communication_Style,Emotional_Intensity,Compatibility_Score
52,Casey,43,Non-binary,Heterosexual,Past,2009-08-07,2011-02-07,549 days,Flings,Serious,Jealousy,Low,Career,Similar difference yes blood financial us build image itself.,Yes,No,45,38,Front five mother so state artist surface full movie choose treatment whose behavior suffer fish.,14,30,57,27,2,Joyful,Shy,Resigned,1,1,10,Higher,Be yourself,No,Let Her Go,75,17,No,7,Gradual,Anxious,188,Open,4,10
53,Christine,23,Other,Pansexual,Modern,2006-08-12,2008-04-12,609 days,Long-distance,Engaged,Third-party interference,Low,Communication,Why represent pick admit yeah.,Yes,No,103,9,Style sign reduce land wait born because on power door Republican opportunity.,2,0,148,1,6,Calm,Bitter,Calm,4,6,10,Higher,Choose wisely,Yes,Let Her Go,16,12,No,7,Early spike,Avoidant,312,Passive,4,2
54,Jo,36,Male,Bisexual,Modern,2014-08-11,2015-01-12,154 days,Situationship,Serious,Infatuation fade,Low,Money,Hot special fly explain mission whatever require second moment enter.,No,Yes,17,62,Major particularly attack plan.,13,12,180,25,18,Hopeful,Excited,Calm,5,4,4,Higher,Value your time,Yes,All of Me,100,18,No,3,Decline,Avoidant,106,Avoidant,8,4
55,Leah,29,Other,Pansexual,Modern,2017-08-11,2017-10-02,52 days,Long-distance,Casual,Arguments and fights,Low,Priorities,Protect above common eat party usually reveal under should make these design edge.,No,No,105,34,Fine pretty why pay risk generation meet say peace address.,9,17,18,45,12,Calm,Resigned,Joyful,4,1,9,Higher,Value your time,No,Blinding Lights,59,2,No,5,Early spike,Avoidant,112,Avoidant,3,9
56,Mark,42,Male,Heterosexual,Modern,2013-12-06,2016-05-05,881 days,Flings,Undefined,Jealousy,Medium,Time management,Agent ask road husband arm less loss door success collection suffer fire security.,No,No,79,22,First firm back everything ball through ever fill visit.,29,26,52,5,1,Resigned,Excited,Calm,3,10,10,Same,Self-love matters,Yes,Thinking Out Loud,43,16,No,6,Gradual,Anxious,301,Passive,2,5
57,Cathy,38,Male,Bisexual,Modern,2006-09-04,2006-10-30,56 days,Casual,Serious,Loss of feelings,High,Career,Wonder industry administration moment impact together item onto end.,No,No,125,47,Rise visit wife happen wish reason above bag sometimes.,28,28,173,44,19,Calm,Calm,Excited,5,10,4,Lower,Trust actions not words,No,Thinking Out Loud,96,1,No,2,Gradual,Secure,270,Open,10,2
58,Lori,40,Female,Asexual,Past,2017-05-19,2017-08-04,77 days,Long-distance,Engaged,Family disapproval,Medium,Communication,Bank east pattern place author film.,No,Yes,167,19,Speak very institution case home least find.,31,7,177,18,17,Excited,Heartbroken,Hopeful,5,9,8,Higher,Self-love matters,No,All of Me,35,13,Yes,1,Decline,Secure,365,Passive,10,4
59,Christopher,18,Male,Homosexual,Modern,2009-11-30,2012-02-27,819 days,Casual,Serious,Loss of feelings,Medium,Priorities,Off modern tend threat between several want.,No,Yes,168,49,Field century moment analysis coach study trial perhaps enjoy beat action kitchen middle both.,0,17,5,1,7,Joyful,Excited,Numb,8,7,10,Same,Value your time,No,Someone Like You,21,2,Yes,8,Decline,Secure,95,Open,8,1
60,Sylvia,38,Male,Bisexual,Modern,2003-06-12,2004-08-16,431 days,Situationship,Serious,Family disapproval,High,Jealousy,Body institution direction let shake identify.,No,No,41,61,Activity do evening hundred matter those fine girl discussion.,27,24,133,33,1,Resigned,Heartbroken,Heartbroken,3,10,4,Lower,Be honest,No,Let Her Go,96,8,Yes,10,Gradual,Avoidant,38,Open,9,10
61,Benjamin,37,Female,Heterosexual,Modern,2013-01-25,2014-04-03,433 days,Long-distance,Engaged,Different life goals,High,Money,Probably whether former half every spring ago anyone.,No,No,53,30,Sound appear find party board current there physical.,38,4,108,42,15,Calm,Excited,Heartbroken,2,8,7,Higher,Self-love matters,Yes,Blinding Lights,22,5,Yes,1,Early spike,Avoidant,266,Open,3,1
62,Kayla,35,Non-binary,Homosexual,Past,2020-06-03,2022-07-26,783 days,Flings,Serious,Infatuation fade,High,Social media use,Customer role billion care window natural adult.,No,Yes,124,13,Explain focus window would different attack wait throw dream very make ever else gun important interest PM.,29,12,95,30,0,Hopeful,Shy,Excited,8,8,7,Lower,Communication is key,Yes,Let Her Go,28,2,No,7,Gradual,Secure,89,Avoidant,1,6
63,Carolyn,40,Non-binary,Bisexual,Modern,2008-09-01,2010-02-16,533 days,Long-distance,Casual,Mismatch of values,Medium,Time management,Central spend when gas above stay accept where both drive want toward admit.,Yes,No,118,52,Such result garden former especially family while try.,9,30,105,39,17,Calm,Resigned,Calm,1,4,7,Same,Love is not enough,No,Shape of You,66,15,No,5,Decline,Secure,73,Passive,8,8
64,Vanessa,25,Other,Homosexual,Past,2020-03-01,2021-02-01,337 days,Situationship,Casual,Lack of communication,Medium,Social media use,About coach way inside sister nearly find need writer ten draw establish career clearly claim.,No,Yes,168,73,Grow somebody long threat impact enjoy federal long painting daughter open.,21,5,11,53,19,Numb,Calm,Heartbroken,1,4,4,Higher,Be honest,No,Shape of You,5,1,No,6,Early spike,Secure,273,Open,5,3
65,Savannah,30,Female,Heterosexual,Modern,2007-03-31,2009-01-12,653 days,Situationship,Serious,Long distance strain,Low,Social media use,Clearly could onto need behavior young against every billion recognize money economic.,Yes,No,98,39,Wide conference six road know term police value top open none popular meet prove expect miss money.,8,9,48,13,7,Calm,Excited,Confident,2,2,1,Higher,Trust actions not words,No,Perfect,4,13,Yes,7,Gradual,Avoidant,80,Avoidant,10,4
66,Blake,40,Female,Bisexual,Modern,2013-12-28,2014-03-14,76 days,Casual,Casual,Infatuation fade,Low,Jealousy,Teach raise wait common increase poor.,No,Yes,95,80,Close game lead moment power quality southern.,12,15,53,47,3,Numb,Numb,Joyful,7,1,1,Same,Communication is key,No,Stay With Me,81,6,No,5,Gradual,Secure,292,Open,5,1
67,Susan,19,Other,Homosexual,Modern,2021-11-28,2022-02-23,87 days,Long-term,Engaged,Emotional unavailability,Medium,Jealousy,Authority receive individual feel bed pattern view economic language room meeting.,Yes,No,53,45,Finish staff movie low several ground court clearly charge free term.,40,2,42,6,17,Hopeful,Hopeful,Hopeful,1,8,8,Same,Love is not enough,No,Stay With Me,86,7,No,10,Early spike,Secure,221,Open,10,4
68,Angela,21,Female,Bisexual,Modern,2003-01-14,2005-05-31,868 days,Casual,Casual,Lack of communication,Medium,Priorities,Half goal both we identify head team big account.,Yes,Yes,144,99,White pass more series it measure worker strategy involve response herself ball above.,32,10,125,38,5,Hopeful,Bitter,Resigned,5,4,7,Higher,Be honest,Yes,Blinding Lights,69,20,Yes,9,Gradual,Avoidant,242,Avoidant,7,7
